  1: 33.09 real	30.20 user	2.55 sys	33205296 memory (KB)
  2: 8.77 real	13.68 user	2.56 sys	33200648 memory (KB)
  4: 4.94 real	13.56 user	2.78 sys	33204708 memory (KB)
  6: 3.54 real	13.77 user	2.58 sys	33203528 memory (KB)
  8: 2.82 real	13.71 user	2.60 sys	33201800 memory (KB)
 10: 2.43 real	13.74 user	2.63 sys	33200100 memory (KB)
 12: 2.29 real	13.62 user	2.88 sys	33200100 memory (KB)
 14: 2.00 real	13.75 user	2.77 sys	33197768 memory (KB)
 16: 1.98 real	13.98 user	2.89 sys	33197780 memory (KB)
 18: 1.88 real	13.95 user	2.91 sys	33193740 memory (KB)
 20: 1.79 real	13.96 user	2.99 sys	33194340 memory (KB)
 22: 1.71 real	13.96 user	3.01 sys	33195484 memory (KB)
 24: 1.65 real	13.89 user	2.92 sys	33191484 memory (KB)
 26: 1.67 real	14.32 user	3.10 sys	33192020 memory (KB)
 28: 1.57 real	14.05 user	3.05 sys	33190956 memory (KB)
 30: 1.55 real	14.30 user	3.07 sys	33189732 memory (KB)
 32: 1.49 real	14.47 user	3.08 sys	33189704 memory (KB)
 34: 1.54 real	15.45 user	3.47 sys	33187976 memory (KB)
 36: 1.27 real	14.40 user	3.02 sys	33191432 memory (KB)
 38: 1.43 real	15.13 user	3.26 sys	33187976 memory (KB)
 40: 1.36 real	16.41 user	3.50 sys	33186304 memory (KB)
 42: 1.47 real	16.36 user	3.66 sys	33185716 memory (KB)
 44: 1.47 real	17.64 user	3.76 sys	33187404 memory (KB)
 46: 1.36 real	18.00 user	3.93 sys	33188000 memory (KB)
 48: 1.36 real	18.61 user	4.00 sys	33188004 memory (KB)
 50: 1.34 real	18.78 user	4.13 sys	33187984 memory (KB)
 52: 1.32 real	19.10 user	4.18 sys	33188556 memory (KB)
 54: 1.31 real	19.23 user	4.22 sys	33187416 memory (KB)
 56: 1.29 real	20.04 user	4.13 sys	33191448 memory (KB)
 58: 1.29 real	20.36 user	4.50 sys	33187976 memory (KB)
 60: 1.30 real	20.85 user	4.60 sys	33188000 memory (KB)
 62: 1.30 real	22.17 user	4.61 sys	33189728 memory (KB)
 64: 1.43 real	23.72 user	4.80 sys	33191488 memory (KB)
 66: 1.29 real	22.86 user	4.64 sys	33188028 memory (KB)
 68: 1.32 real	24.95 user	4.81 sys	33189704 memory (KB)
 70: 1.29 real	24.81 user	4.90 sys	33186276 memory (KB)
 72: 1.31 real	26.25 user	5.12 sys	33187428 memory (KB)
 74: 1.39 real	25.42 user	4.97 sys	33189152 memory (KB)
 76: 1.39 real	24.82 user	4.93 sys	33189704 memory (KB)
 78: 1.36 real	24.81 user	5.32 sys	33192632 memory (KB)
 80: 1.46 real	24.88 user	4.75 sys	33187400 memory (KB)
 82: 1.36 real	25.17 user	4.83 sys	33190860 memory (KB)
 84: 1.34 real	24.48 user	4.61 sys	33189728 memory (KB)
